src,des,weight
0,1431,1
0,955,1
0,1824,1
0,70,1
0,592,1
0,348,1
0,2714,1
0,1062,1
0,2411,1
0,838,1
0,271,1
0,2428,1
0,2035,1
0,2646,1
0,198,1
0,1027,1
1,661,1
1,2935,1
1,1536,1
1,1317,1
1,2903,1
1,1739,1
1,783,1
1,1824,1
1,299,1
1,1221,1
1,1715,1
1,1253,1
1,1374,1
1,1214,1
1,2378,1
1,3309,1
1,289,1
1,2609,1
1,2149,1
1,1180,1
1,1586,1
1,2266,1
1,1558,1
1,592,1
1,3042,1
1,295,1
1,1918,1
1,2714,1
1,3009,1
1,1884,1
1,1213,1
1,180,1
1,714,1
1,70,1
1,1725,1
1,1545,1
1,2006,1
1,2853,1
1,2252,1
2,1048,1
2,2885,1
2,1657,1
2,1854,1
2,2999,1
2,2142,1
2,2630,1
2,122,1
2,1966,1
2,2360,1
2,1271,1
2,458,1
2,2262,1
2,1697,1
2,68,1
2,2160,1
2,2900,1
2,1658,1
2,1884,1
2,86,1
2,751,1
2,2132,1
2,66,1
2,943,1
2,1504,1
2,3266,1
2,1364,1
2,2790,1
2,2673,1
2,514,1
2,3361,1
2,2600,1
2,235,1
2,2483,1
3,1130,1
3,2739,1
3,2117,1
3,1351,1
3,1817,1
3,329,1
3,1722,1
3,1771,1
3,79,1
3,399,1
3,1213,1
3,1477,1
3,1720,1
3,1101,1
3,1471,1
3,3372,1
3,3323,1
3,2328,1
3,3346,1
3,1770,1
3,3132,1
3,383,1
4,2621,1
4,218,1
4,995,1
5,2015,1
5,1772,1
5,1766,1
5,2559,1
5,2875,1
5,1548,1
5,2560,1
5,2054,1
5,760,1
5,3143,1
5,2662,1
5,2705,1
5,818,1
5,1214,1
5,2928,1
5,1029,1
5,134,1
5,2076,1
5,893,1
5,409,1
5,1515,1
5,1529,1
5,2418,1
5,2872,1
5,2909,1
5,933,1
5,619,1
5,2142,1
6,2812,1
6,1221,1
6,1872,1
6,393,1
6,1031,1
6,3237,1
6,661,1
6,1690,1
6,979,1
6,1749,1
6,2181,1
6,1664,1
6,2222,1
6,267,1
6,736,1
6,842,1
6,2591,1
6,3319,1
6,84,1
6,2301,1
6,1400,1
6,982,1
6,1226,1
6,2772,1
6,2368,1
6,1824,1
6,344,1
6,3166,1
6,3119,1
7,890,1
7,2621,1
7,2592,1
7,1697,1
7,266,1
7,1669,1
7,138,1
7,1504,1
7,3129,1
7,97,1
7,2766,1
7,301,1
7,2199,1
7,409,1
7,2535,1
8,1853,1
8,2784,1
8,2619,1
8,1870,1
8,3446,1
8,777,1
8,1509,1
8,2536,1
8,1802,1
8,2212,1
8,1628,1
8,1602,1
